timestamp,data,timestamps
1700198871.6827216,"[-0.00011006387728777685, -0.009303220794754046]"
1700198871.6920655,"[0.0037584962115997825, -0.01068629168459907]"
1700198871.7034614,"[-0.004126815956061143, -0.005595538092433763]"
1700198871.7128398,"[-0.002441584793401054, -0.00647643611613775]"
1700198871.7215247,"[7.088984764382439e-05, -0.005501530093184093]"
1700198871.7336235,"[0.0029649795670910993, -0.005833212315584697]"
1700198871.7430785,"[0.007090209792457864, -0.006266783416663335]"
1700198871.75456,"[0.004892464047746717, 0.001494890862437443]"
1700198871.762653,"[0.00407816407333437, 0.0027202458500896302]"
1700198871.772434,"[0.01225476726374277, -0.0025380383944227586]"
1700198871.7822049,"[0.00904891211346568, 0.007162160817734858]"
1700198871.7929816,"[0.007636501037149886, 0.009782567301356257]"
1700198871.8027778,"[0.008185397468862736, 0.011446257034806022]"
1700198871.8122427,"[0.004110589102764478, 0.01359355774093456]"
1700198871.8232987,"[0.005489322597653831, 0.010109432909781767]"
1700198871.8333359,"[-0.0010874117666971248, 0.013068796929396363]"
1700198871.8428934,"[-0.00434747747912796, 0.018081183162293037]"
1700198871.8523633,"[-0.0028066647074300416, 0.01404469481254172]"
1700198871.859768,"[6.302946993060052e-05, 0.0035394673408256127]"
1700198871.874093,"[-0.001794950239561599, 0.00945664620430918]"
1700198871.8829484,"[-0.0037527519688801544, 0.014408901227623434]"
1700198871.892786,"[-0.010669975253963598, 0.009391541037282567]"
1700198871.902344,"[-0.007299015622346956, 0.008060070191148242]"
1700198871.9139748,"[-0.004647647009282251, -0.0013149139414052712]"
1700198871.921227,"[-0.006909510895529378, -9.806084963319676e-05]"
1700198871.9338012,"[-0.006359782488868382, -0.003996584705791393]"
1700198871.9436421,"[-0.005362145847530637, -0.007732549328840462]"
1700198871.9536574,"[-0.004249770079132792, -0.01017026904897718]"
1700198871.9617722,"[-0.0005207649253681162, -0.015708730788260145]"
1700198871.9726827,"[0.0009592668806225993, -0.013047585068968031]"
1700198871.9802856,"[0.0015405650564070939, -0.015062662516636962]"
1700198871.9940472,"[-0.003098133163603656, -0.013808614492289442]"
1700198872.0013509,"[0.00023380200115077373, -0.015779603892529408]"
1700198872.011964,"[-7.215663997096812e-05, -0.011696351035908463]"
1700198872.0223424,"[-0.0009230153475893315, -0.007607295634711392]"
1700198872.0332093,"[-0.0033162483617446338, -0.0032914059465680083]"
1700198872.0425994,"[-0.006153858378619742, 0.0006093810391125444]"
1700198872.0521178,"[-0.0018547985625518883, -0.00541793358593412]"
1700198872.0632086,"[0.002304004242844041, -0.008106836392630937]"
1700198872.072845,"[0.004974978137609908, -0.011404462426634083]"
1700198872.0825694,"[0.0032982817528256973, -0.011122037330708138]"
1700198872.0921183,"[0.0037548810508815614, -0.007508089108116804]"
1700198872.099549,"[0.004866613335076451, -0.006044119059520851]"
1700198872.113783,"[0.005003900645647297, -0.006463031236118236]"
1700198872.1215172,"[0.0019139335085686857, -0.00046971173984556615]"
1700198872.1336389,"[0.0003553664266398665, -0.004800347739328997]"
1700198872.1462212,"[0.002681419438116165, -0.00785733096905636]"
1700198872.1545157,"[0.003860937158860283, -0.005542928592046138]"
