timestamp,data,timestamps
1700541747.6922731,"[0.03306088870560777, 0.08834772405719815]"
1700541747.702526,"[-0.14147312660720265, 0.18730197276354207]"
1700541747.7118425,"[-0.036190223800147955, 0.5093940481817325]"
1700541747.72517,"[-0.18464507354829462, -0.12869025643052626]"
1700541747.7323172,"[0.08597590764564197, -0.3488572460769279]"
1700541747.7553146,"[-0.014643785278694005, -0.02487590885738066]"
1700541747.7947342,"[-0.06887059778196601, -0.05099215331028878]"
1700541747.8102055,"[-0.04344515081590174, -0.1331735483284561]"
1700541747.8159719,"[-0.9366460539977919, -1.2654240877973681]"
1700541747.8214943,"[0.6770698657410078, -0.6070159331942517]"
1700541747.8242762,"[-1.5859211163139344, 1.2418513601610124]"
1700541747.830052,"[-1.162206870717228, -0.6300483684716768]"
1700541747.8327286,"[1.771791045956524, -2.2584712368361175]"
1700541747.8381822,"[-0.054701519294623045, -1.1148478019480903]"
1700541747.841533,"[0.10638463554141611, 0.12921545401848025]"
1700541747.8486042,"[-0.08929302519506764, 0.697572434329072]"
1700541747.8583882,"[-0.4313939957939239, -0.30554336083054834]"
1700541747.8638787,"[0.6165816040988122, -0.7196804251346772]"
1700541747.8709378,"[0.6445268131240202, -0.7643952063321188]"
1700541747.8843176,"[-0.3226663488703713, 0.35076373664022326]"
1700541747.8896043,"[1.206263272210929, -1.1502800750658237]"
1700541747.9025383,"[0.5356306169562728, -0.021226988777937394]"
1700541747.9108186,"[-0.36438445824417076, 0.5314231590808928]"
1700541747.9252758,"[-0.584752178550694, 0.6366582395314337]"
1700541747.932247,"[0.5861318814108744, 0.7771745701986623]"
1700541747.943839,"[0.4422865808632563, 0.0009094736659654616]"
1700541747.9532528,"[-0.29825271434696277, 0.03983017956258909]"
1700541747.9652245,"[0.3276926666198498, -0.011412030062994334]"
1700541747.972281,"[0.42525738699350213, 1.4999898759666226]"
1700541747.9826999,"[-0.1671653852363675, -0.2963401576244713]"
1700541747.9908369,"[-0.11756071701832432, 0.42132351322113776]"
1700541748.0044897,"[0.21980162905396902, -0.24413890566256005]"
1700541748.0125542,"[-0.42542588501515155, -0.06291899959809745]"
1700541748.0226452,"[0.1951521241367155, 0.305924962324428]"
1700541748.0310438,"[-0.2853712270409334, 0.9212410261758567]"
1700541748.043582,"[-0.3769991262353824, -0.1011585645101808]"
1700541748.053546,"[-0.22393406321683915, -0.18328111372333297]"
1700541748.0627434,"[0.2271930178684608, 0.20379547613734472]"
1700541748.07106,"[0.005553284130134159, -0.8004919753692848]"
1700541748.0852344,"[-0.15173201764692593, 0.2731445969532814]"
1700541748.092392,"[1.1100068706113113, -0.7834320995424348]"
1700541748.1027424,"[-0.07546405204759378, -0.2112035437835818]"
1700541748.110856,"[-0.7532207733900516, 0.6297585709600905]"
1700541748.1243467,"[-0.07597987108975246, 0.012317071009138106]"
1700541748.1323133,"[-0.31917488927003324, -0.12090209659775435]"
1700541748.1433089,"[-0.03389617235853806, -0.09532323764394325]"
1700541748.152821,"[0.06272791338350965, -0.24661300344610393]"
1700541748.165188,"[0.2699742394843881, 0.1765652944595275]"
1700541748.1722426,"[-0.19932974992810795, -0.976030349745751]"
1700541748.1827083,"[0.2400676835459263, -0.4087337519977893]"
1700541748.1909285,"[-0.4075681523313268, 0.6314362464880396]"
1700541748.205317,"[0.25400263953965563, -0.18797332070531786]"
1700541748.2122796,"[0.8666662825881633, 0.22646837119377314]"
1700541748.222694,"[0.010435040701458728, 0.7054215572695628]"
1700541748.2308521,"[-0.40871317447432304, -0.5848570588198193]"
1700541748.243735,"[-0.1746794226484198, -0.26451598102712237]"
1700541748.2536566,"[-0.10005529024997688, 0.5832488812122918]"
1700541748.2625737,"[-0.2440276875285344, -0.23161315008255193]"
1700541748.2708292,"[-0.2205742245877495, -0.6034282496963227]"
1700541748.2851365,"[0.22602733294972707, 0.5101264421381745]"
1700541748.2922323,"[0.3787628541078994, -0.6888473491048559]"
1700541748.3026044,"[0.140514795449446, 0.4138262772898024]"
1700541748.3110387,"[0.5780214514605069, 0.14690008868269905]"
1700541748.325446,"[0.19475502675750334, -0.2872759169349324]"
1700541748.3324285,"[-0.21528526538067413, -0.28379665682266175]"
1700541748.3440926,"[0.19918004920975535, -0.16567862140153986]"
1700541748.3535755,"[0.05454994401306691, -0.02713266757339208]"
1700541748.3651247,"[-0.21296968450020992, 0.04257664204553486]"
1700541748.3723488,"[-0.6342502504915893, 0.9104026089952808]"
1700541748.3827999,"[0.024814088195363827, -0.049200162145269996]"
1700541748.3909187,"[-0.202417639251683, -1.4756135776583916]"
1700541748.405456,"[0.026571260034044683, -0.02856443012154331]"
1700541748.4122329,"[-0.7270803547407356, 1.5669241769545783]"
1700541748.42266,"[-0.397489296432257, 0.1533599989818202]"
1700541748.4309986,"[-0.31673304447770595, -0.38917086291625336]"
1700541748.4435694,"[-0.05184695716772779, -0.07907821697758788]"
1700541748.4536438,"[-0.25362209773479316, -0.21045627614759918]"
1700541748.4627655,"[-0.054268186151406834, -0.1633985300984938]"
1700541748.4734788,"[0.18167177217779612, 0.3000576296342134]"
1700541748.4852493,"[-0.04997667267450927, 0.08976330061739601]"
1700541748.4925005,"[-0.08657543811646197, 0.6847935241564972]"
1700541748.5028005,"[0.09218700107968186, 0.4909895108454899]"
1700541748.51086,"[0.008931204820641234, 0.9320823152556179]"
1700541748.5251694,"[0.027257977071396974, -0.531759211977872]"
1700541748.532316,"[1.1061582196361466, 0.22557799222026897]"
1700541748.5438623,"[0.13661847610698896, 0.12684869130697235]"
1700541748.5533028,"[-0.09673403681325682, -0.12717505552814312]"
1700541748.5651062,"[0.4336225999999281, 0.2750968146071754]"
1700541748.5723197,"[0.6123596785600256, 0.6885858326673336]"
1700541748.582614,"[-0.05428096267649554, 0.15714811219672045]"
1700541748.5908978,"[-0.555258756516492, -0.2416984275784932]"
1700541748.605287,"[0.8209097033888132, -0.5191343751994049]"
1700541748.6124904,"[0.5182696041077489, -0.7004072730224139]"
1700541748.6226907,"[0.3157756090402129, -0.12939579104641585]"
1700541748.6308649,"[-0.24196343080590207, 0.06059042254780394]"
1700541748.643656,"[-0.6699692063047544, 0.39961984985704946]"
1700541748.653554,"[-0.16384245926925128, -0.3500970453371771]"
1700541748.6625764,"[-0.4037593740110255, 0.3503035311575118]"
1700541748.670864,"[-0.1935640625395527, -0.4754721278420053]"
1700541748.6851337,"[-0.07501411439638814, -0.5280277175461818]"
1700541748.6922722,"[-0.29713265807162087, -0.8951385207058676]"
1700541748.7025266,"[-0.2918883793165286, 0.1135800814219963]"
1700541748.7108622,"[-0.12487105340929405, -0.05714167062055323]"
1700541748.7252517,"[0.42838790216419986, -0.307115077666491]"
1700541748.7323167,"[-0.14120733754396347, 0.6107974448802023]"
1700541748.7535026,"[-0.5541541541133695, 0.1226866841184686]"
1700541748.796812,"[-0.03656908999465625, -0.040651908137435744]"
1700541748.8078048,"[0.18070634822923715, 0.4751149013600184]"
1700541748.813254,"[0.0654848131638281, -0.9736133602049792]"
1700541748.818768,"[-0.4336489944434256, -0.809930979269211]"
1700541748.821436,"[-1.4963009787037505, -0.2132885345717095]"
1700541748.8270042,"[-0.05089879024763518, 0.16468103896993852]"
1700541748.829788,"[-0.07313649471573287, -0.777314407068769]"
1700541748.8351738,"[0.7604475073477387, 0.5608216037493935]"
1700541748.837881,"[-1.5448577645172525, -0.7784502912250733]"
1700541748.8452528,"[-0.2358312369756998, 0.28220503821632065]"
1700541748.8549688,"[0.10341887869245733, 0.491631650701298]"
1700541748.8627036,"[0.40768049957550423, -0.5748701389947025]"
1700541748.8709526,"[0.2983620962294975, -0.7572478655337812]"
1700541748.88451,"[0.3929111324424908, 0.41613370084986356]"
1700541748.892372,"[0.27413852086668516, 1.0841418567488887]"
1700541748.9024913,"[-0.05026869888555562, -0.28590382675720954]"
1700541748.9108977,"[-0.32354057806711883, 0.7068297867749062]"
1700541748.925217,"[0.45498758122809935, 0.5632109429837573]"
1700541748.9323094,"[0.8006477248648648, -0.4009427557749814]"
1700541748.9439294,"[0.5567556177304606, 0.004075096095274947]"
1700541748.9533863,"[0.14457242557815608, 0.7504154049193279]"
1700541748.9652092,"[0.42223693227309267, 0.07560169664402845]"
1700541748.9723763,"[1.0879698106155213, -0.26690567200297477]"
1700541748.98266,"[0.24331115709589515, 0.625955890421351]"
1700541748.9908645,"[-0.0636533915971816, 0.4192838590889541]"
1700541749.0043416,"[-0.30344684191113674, -0.44071501793470713]"
1700541749.0123777,"[0.13021247886439155, 0.20415352042265686]"
1700541749.0225456,"[-0.28013353007452896, -0.08034944993891979]"
1700541749.0309212,"[-0.8104512652009286, -0.5810634390903523]"
1700541749.0437746,"[-0.466334354408443, 0.006949510780145477]"
1700541749.0535796,"[-0.8485377759387561, 0.3958967239667496]"
1700541749.0625918,"[-0.4782605316726615, -0.37219982513676636]"
1700541749.0708718,"[-0.4626858852024986, -0.44876153305239985]"
1700541749.0852926,"[-0.23960804089116552, -0.13328075176198245]"
1700541749.0923607,"[0.0700249326675102, -0.3034904837965056]"
1700541749.1025283,"[-0.17488550398894748, -0.16228821433765242]"
1700541749.110889,"[-0.7014615103715375, -0.5808545472140436]"
1700541749.1243348,"[-0.5383182281121034, 0.4013863595528065]"
1700541749.13234,"[-0.10711377777493164, 0.6668956486701927]"
1700541749.1434608,"[0.029394693717572525, -0.08043586340184437]"
1700541749.1529117,"[0.46460643386616474, -0.7701668528577035]"
1700541749.1653075,"[0.02491614081183041, 0.07645397505030223]"
1700541749.1723258,"[1.6912320819624453, -0.21082030400400512]"
1700541749.182551,"[0.4352392126003948, 0.6841209814760632]"
1700541749.1908107,"[0.4471801072396368, -0.18793402483892654]"
1700541749.2052565,"[-0.32275402238221684, -0.32613134400719623]"
1700541749.2123165,"[1.7073147447749806, -1.1564823879104555]"
1700541749.2227478,"[0.595111315271609, -0.39622354142037725]"
1700541749.2309473,"[0.18880400202630826, 0.32060180993689114]"
1700541749.2439318,"[-0.6587867635888263, -0.44300876980211545]"
1700541749.2537441,"[-0.5825956132373203, 0.08817719150858885]"
1700541749.262729,"[0.6693938825246807, 0.5439586606562506]"
1700541749.2710943,"[0.010487046519131122, -0.38569852803765925]"
1700541749.2853796,"[-0.06609517045812528, -0.6979274676594222]"
1700541749.292428,"[0.2528970249793498, -0.3327633138467841]"
1700541749.3025594,"[0.08826607335732241, 0.986341165190973]"
1700541749.310898,"[0.18744412876559455, 0.2572844944710835]"
1700541749.325349,"[0.19021817562932067, -0.6659278276998734]"
1700541749.3323264,"[-0.9775236419689516, 1.3502120496157684]"
1700541749.3433857,"[-0.11712023171249938, 0.3706215393194258]"
1700541749.3528953,"[-0.36698147028889444, 0.10101314043484007]"
1700541749.3652458,"[0.46898893091781774, 0.2837766763221896]"
1700541749.3724227,"[0.02958471541914372, 0.5581492056915303]"
1700541749.3826747,"[-0.48402712939563747, 0.17897565415478728]"
1700541749.3909461,"[-0.05261302344869356, 0.01824903477413277]"
1700541749.4051814,"[-0.02184961765670895, 0.9022896402799169]"
1700541749.4120815,"[-0.11123275036891157, 0.8029266421354081]"
1700541749.4227757,"[-0.03934841380819571, 0.3687590068971793]"
1700541749.4310088,"[0.34216408838208073, -0.3709407482036362]"
1700541749.4435,"[-0.9098747337679971, 0.5079266010838016]"
1700541749.4536602,"[-0.3292670082029168, 0.27252191229799083]"
1700541749.4625475,"[-0.1550288153289338, -0.42664694941120646]"
1700541749.4709508,"[0.10810141481337363, -0.06327408821396169]"
1700541749.4851894,"[0.2720507823367978, -0.06267615863523139]"
1700541749.4924507,"[4.531107162999375, -0.4977524559776185]"
1700541749.502559,"[8.567003200213934, 0.8326041692430108]"
1700541749.5108929,"[11.617926858224013, 2.3608655870077047]"
1700541749.525324,"[9.542789846262439, 2.2797463965011997]"
1700541749.532264,"[13.038571195494812, -1.1902377024513238]"
1700541749.5440161,"[3.453273343985419, -3.9325534707265417]"
1700541749.5535588,"[8.26491253305333, -2.203293509634441]"
1700541749.5655115,"[3.6499344059858663, 0.8531381878424427]"
1700541749.5724874,"[15.015457248035872, -1.4566561833561136]"
1700541749.5830839,"[8.772183971024194, -3.180981819027833]"
1700541749.5910468,"[13.381681797668554, -4.573919639040293]"
1700541749.605106,"[12.791727434327207, -1.37623551771274]"
1700541749.6123693,"[21.76625722985776, -0.07319272605699545]"
1700541749.62264,"[7.143055205810375, 0.1886724236804135]"
1700541749.630918,"[8.387847670034647, 1.257673190837655]"
1700541749.6436312,"[3.2417614035633013, -1.0251749593172845]"
1700541749.6531029,"[9.872471437868338, -2.2098447847848623]"
1700541749.6627462,"[5.158127843275431, 1.526325919783976]"
1700541749.671103,"[3.276776402190266, 1.9317110328430307]"
1700541749.6855125,"[1.0923325981409133, 1.2278625467292972]"
1700541749.6924338,"[5.328711393162771, 4.16959444146951]"
1700541749.702761,"[3.1700697718686994, 1.3186050568636478]"
1700541749.7108529,"[3.2725206254227124, 0.6934364280812315]"
1700541749.7252946,"[-0.14572461940940523, 0.524719483844891]"
1700541749.732381,"[4.683145936465398, 2.8284930756713362]"
1700541749.7542572,"[0.13167163587367298, 0.6792569905354369]"
1700541749.7989366,"[-0.08055708986453879, 0.2604518623809541]"
1700541749.8112,"[-2.0748467279890317, 0.899469154980742]"
1700541749.8140593,"[7.206095970604862, 3.223266280772405]"
1700541749.8195386,"[1.7019951823023238, 0.419146551851576]"
1700541749.8223,"[0.473185031309655, -0.46542401896855645]"
1700541749.8278863,"[-2.9354535306407876, -1.6790692417633233]"
1700541749.8306248,"[-1.7048220908223555, 0.8624003638197937]"
1700541749.8359342,"[-0.49931114332500265, -1.6642892286990054]"
1700541749.8394418,"[3.263603975252621, -2.057650166002565]"
1700541749.846467,"[0.16722892789192398, -1.9393590335940691]"
1700541749.8558855,"[3.161346737719228, -1.464294213373091]"
1700541749.86382,"[-1.4201727605188352, -0.42259500419413815]"
1700541749.870925,"[-1.0921477699086333, -2.2648586448671595]"
1700541749.8845007,"[-0.6870947142806357, -1.586248603661611]"
1700541749.892438,"[2.683875504531873, -1.1103376936023444]"
1700541749.902541,"[0.7547712524709757, -0.9264667660457324]"
1700541749.9108925,"[0.13743437551030674, -2.2035794655398835]"
1700541749.9251227,"[-1.0174007496127742, -0.879032917207069]"
1700541749.9323156,"[3.041439007675771, -1.1426092945154553]"
1700541749.9431362,"[0.22500674570359144, -1.1248554885073816]"
1700541749.9526517,"[0.08010048545332393, -0.6737649238212609]"
1700541749.9652743,"[-2.1312496757986974, 0.373843699609897]"
1700541749.9723277,"[-1.0732528975980722, 3.2803978463396266]"
1700541749.9825757,"[-0.9676916979615264, 1.0507100529323143]"
1700541749.9909036,"[-0.01574759285466683, -0.31477779106698023]"
1700541750.004325,"[-0.6022972461283725, 1.1271961383592481]"
1700541750.0123706,"[3.0122141648390373, 2.689996729495721]"
1700541750.0225334,"[1.0182164554811788, 0.5118821173954105]"
1700541750.0309346,"[-0.48145516073656275, 1.1420143592347465]"
1700541750.0436862,"[-2.680470653239084, 1.926771634526364]"
1700541750.053547,"[1.7115406186082256, 2.4836247178325093]"
1700541750.0625582,"[0.13098529643343274, 0.26263894865585546]"
1700541750.0709047,"[0.5439565105184315, 1.6099033110262277]"
1700541750.085255,"[-0.028419749753251337, 1.2353558573037842]"
1700541750.0923896,"[4.009130380092159, 0.8329889977431184]"
1700541750.1028218,"[-0.14011962462927688, -1.6448015866006735]"
1700541750.1109548,"[-2.9885310717528784, -0.20936221254454615]"
1700541750.124575,"[-2.16673871294506, 0.39462156502389456]"
1700541750.1325047,"[4.45529521722999, -4.8943475537035805]"
1700541750.1438193,"[0.2532545374688333, -0.7802471767885529]"
1700541750.1532629,"[-1.5564089592757324, -0.3501228372885805]"
1700541750.165214,"[-2.1147841939632475, -0.5655154306206284]"
1700541750.1723666,"[4.31780955705534, -5.870907037344243]"
1700541750.1827996,"[-0.3986168487186308, -1.48660181226033]"
1700541750.1910405,"[-2.6274520561448247, -0.7649687513958023]"
1700541750.205286,"[-3.6000196794751393, 0.055357340571078446]"
1700541750.2124307,"[1.4974611720675834, -3.9513276832062485]"
1700541750.2227175,"[-0.09651337136005372, -0.7232393023913524]"
1700541750.231008,"[1.4199918793923132, -1.6096111147126277]"
1700541750.2446318,"[-2.045217413308986, 1.9866846123560016]"
1700541750.2541761,"[-0.7033459717912383, -0.9916794513633908]"
1700541750.2627842,"[-0.12362224901348597, -1.9575803820992261]"
1700541750.2708502,"[-0.08564325358135245, 1.1889869213238973]"
1700541750.285166,"[-2.037351500291977, 3.25780150242333]"
1700541750.2923274,"[-1.024681153753033, -0.08903844006887708]"
1700541750.3025775,"[-1.442894865495797, -1.9341790746757495]"
1700541750.3108559,"[-2.662901143566114, 3.7063275644280713]"
1700541750.3254867,"[-2.249771381554261, 3.0436945415826533]"
1700541750.3323865,"[3.836758856484911, -1.8427282176138522]"
1700541750.3436239,"[1.264968081474031, -0.22680149632320143]"
1700541750.353087,"[-1.0988417642776676, 1.401810026749417]"
1700541750.364981,"[-3.494986675567168, 2.0839389150434275]"
1700541750.372447,"[0.9456271000570791, 1.3171460234838643]"
1700541750.3825767,"[-0.047149939559999646, -2.426040732032058]"
1700541750.390927,"[-2.7015726755056693, -1.3086335182235527]"
1700541750.405224,"[-3.300689895168395, 1.6469514108673224]"
1700541750.4123101,"[1.83820654698774, -0.69158317600687]"
1700541750.4227319,"[-1.3360777689507664, 0.337115815198018]"
1700541750.4310725,"[-3.3354698399907274, -3.0851762478236386]"
1700541750.4435766,"[-1.8141750500478357, -1.2462559139542209]"
1700541750.4537177,"[1.235909735420908, -0.9763695313530318]"
1700541750.4627445,"[-0.4919117336852135, -0.1402287096348482]"
1700541750.4708433,"[-1.369949496586035, -1.8733086613945868]"
1700541750.4852014,"[-0.2063405725513198, 0.13989871498735754]"
1700541750.4924192,"[-0.9766432171656229, -2.7505327534016244]"
1700541750.5025752,"[-1.359612178009376, 0.7852194138659281]"
1700541750.5110502,"[-1.9053113419328038, -0.8240909012518939]"
1700541750.5254672,"[-0.8840815692655771, -2.057374661902616]"
1700541750.5325425,"[3.2137164317717866, 3.323386561161305]"
1700541750.5439007,"[-0.8730978832929297, -0.8851264470128781]"
1700541750.5533094,"[-4.666102292021482, -1.2501573242468857]"
1700541750.5651436,"[-2.241447762396895, 1.100166131849453]"
1700541750.5723197,"[2.062930878556631, -1.5534955362535476]"
1700541750.58266,"[-0.022251901807723466, 3.0204529771905118]"
1700541750.5908504,"[-0.26623423721865125, 4.445442131451954]"
1700541750.605205,"[0.21375639926061618, 0.210246763497851]"
1700541750.6124935,"[1.819636288337412, 2.75888883136742]"
1700541750.622625,"[-2.1742577532488876, -2.368123011725658]"
1700541750.6309154,"[-1.4226252346544768, 0.6449316709524995]"
1700541750.6436872,"[1.5386795492862926, 2.989473370257243]"
1700541750.6531498,"[1.9734211306771998, 0.4261655626689827]"
1700541750.6626213,"[-1.9279175297951814, 0.8096136038987056]"
1700541750.6709383,"[-1.1542313537789897, 2.7059059944969692]"
1700541750.685273,"[-0.6617279994643301, 0.6243847058492146]"
1700541750.6923473,"[4.913063608387414, 5.1406689378879555]"
1700541750.7025826,"[0.7232310723792567, -0.47206760879717785]"
1700541750.7108557,"[-1.0220192765129423, -2.1091305152164175]"
1700541750.7253027,"[-2.2466515867844623, 0.6295884237714579]"
1700541750.7323482,"[3.015495559656394, -3.058913471729605]"
1700541750.7544365,"[-0.6037507842285875, 0.474897090641457]"
