timestamp,data,timestamps
1700541747.7212982,"[0.004738759016175513, -0.002261365290171342]"
1700541747.7452886,"[0.004889794527950643, -0.002042916847792393]"
1700541747.8089216,"[0.004885843346741814, -0.00190342123416408]"
1700541747.8188818,"[0.00484015160086511, -0.002053847101333246]"
1700541747.8287659,"[0.0044813559275780155, -0.0021098821916535945]"
1700541747.8369129,"[0.0043634368666321715, -0.002493571125255029]"
1700541747.8473582,"[0.004166289528027641, -0.0026669955551946495]"
1700541747.8612804,"[0.003964387610189802, -0.0030665717604246696]"
1700541747.8812268,"[0.00378781723259656, -0.0034666151850512314]"
1700541747.925686,"[0.003960509722142963, -0.004036324925407203]"
1700541747.9256904,"[0.003698912629277366, -0.00412308878188547]"
1700541747.9736772,"[0.0038051868634749932, -0.004223063829953527]"
1700541747.9736853,"[0.003854627214371413, -0.004309892382136755]"
1700541748.0176694,"[0.003953810866782035, -0.004197822834929323]"
1700541748.01768,"[0.004055465827533937, -0.004149525321125469]"
1700541748.0656812,"[0.00414559964494998, -0.004036796667657693]"
1700541748.0656931,"[0.004011771609886662, -0.0037394431462016617]"
1700541748.0656981,"[0.003972087486325891, -0.003509556269048379]"
1700541748.1136749,"[0.0038587803227899693, -0.003391033117831335]"
1700541748.1136794,"[0.003989199092375877, -0.0034502984239333703]"
1700541748.1213384,"[0.0037902041162252527, -0.003272093692002622]"
1700541748.1419945,"[0.003635825592588296, -0.003197621471089049]"
1700541748.1856673,"[0.0035616827663471533, -0.003131961376569923]"
1700541748.1856768,"[0.003527553986366658, -0.0033601171600714432]"
1700541748.2337236,"[0.0034604372643215354, -0.003426385640503549]"
1700541748.2337322,"[0.00359149515416185, -0.0033054091528133818]"
1700541748.281667,"[0.0034871929956223307, -0.0034483263294093256]"
1700541748.2816741,"[0.0033952219496604357, -0.0034310621547732657]"
1700541748.2816896,"[0.0033236550978837636, -0.0034086579210086416]"
1700541748.325738,"[0.0033601417875529726, -0.0034390076635347436]"
1700541748.3257422,"[0.0035904565032290566, -0.0034859985156136795]"
1700541748.3427799,"[0.003781517608599394, -0.003610889738210238]"
1700541748.3619933,"[0.003892689830678536, -0.003721994437675031]"
1700541748.4056826,"[0.003940681134580778, -0.00364737898174846]"
1700541748.405691,"[0.0039460377660486485, -0.004021631057652697]"
1700541748.449677,"[0.0037590784277849814, -0.0039340788149262625]"
1700541748.4496865,"[0.003496681511437878, -0.004059096908622071]"
1700541748.4976768,"[0.0032090326626399725, -0.0042249915241598605]"
1700541748.497685,"[0.0029721211722778485, -0.004242003610691153]"
1700541748.5416718,"[0.0027429020399751623, -0.004058439248403725]"
1700541748.5416784,"[0.0025082514934901047, -0.0038721653612273223]"
1700541748.5896754,"[0.002545489810509809, -0.0036463228497761757]"
1700541748.5896842,"[0.002592341447920925, -0.0033732638713941426]"
1700541748.5896885,"[0.002761979191654354, -0.00298650396377337]"
1700541748.6376684,"[0.003040965849542886, -0.002881371040466348]"
1700541748.637675,"[0.0034684128899516694, -0.002861211662025345]"
1700541748.6423748,"[0.0035662796265252946, -0.002660670820988587]"
1700541748.661287,"[0.0036603037256570576, -0.002528734359638287]"
1700541748.7016633,"[0.003649035409521831, -0.002705139695050715]"
1700541748.701669,"[0.0035759739478193947, -0.002918953399956378]"
1700541748.7456717,"[0.0036434236187653807, -0.003221587199713187]"
1700541748.7456822,"[0.0033843818261741145, -0.0033121824369262928]"
1700541748.8065236,"[0.003138202817780484, -0.00335954835218115]"
1700541748.8159978,"[0.0029295569976179915, -0.0036684484377133906]"
1700541748.857717,"[0.002548382193168259, -0.0039056071860343587]"
1700541748.8577263,"[0.0023341852954217725, -0.004133895580681721]"
1700541748.8577306,"[0.0019193073762277786, -0.004334503048251315]"
1700541748.9016678,"[0.0016628180204816003, -0.004535828114430125]"
1700541748.9016755,"[0.001604888800134529, -0.004750578242067659]"
1700541748.9016848,"[0.0015502427942950315, -0.0048430349633547835]"
1700541748.9456916,"[0.0015538162388045794, -0.004536584102285552]"
1700541748.9456978,"[0.0018438707522483398, -0.004458959285147801]"
1700541748.9613352,"[0.002285606530661678, -0.004092338537161736]"
1700541748.981381,"[0.0029039949198727214, -0.003725874277244782]"
1700541749.0216672,"[0.003355718142954705, -0.0033913298291592393]"
1700541749.021675,"[0.003811715705124188, -0.003044096210623528]"
1700541749.0656672,"[0.0038608423096494603, -0.0028489401802749468]"
1700541749.0656788,"[0.0037389942905408998, -0.00258731085617272]"
1700541749.1136596,"[0.0034553041119915456, -0.0025104616858698968]"
1700541749.1136649,"[0.003228707015794678, -0.002470247235342126]"
1700541749.1616747,"[0.002599890038483286, -0.002385654929873855]"
1700541749.1616838,"[0.0021002283834017335, -0.002227646171904803]"
1700541749.161693,"[0.0017528984766670387, -0.0022810385975637697]"
1700541749.2096758,"[0.0017694794859006411, -0.0021471351323357033]"
1700541749.2096815,"[0.001690663263855884, -0.00218366352645825]"
1700541749.221512,"[0.0020626759283401547, -0.0024799040202305887]"
1700541749.2423763,"[0.002104393340879915, -0.0027809401989557637]"
1700541749.2856708,"[0.0022382600701158304, -0.0029287906719755604]"
1700541749.2856774,"[0.0023249334189900783, -0.003478065045545637]"
1700541749.3297303,"[0.002521326118725916, -0.003760438612622493]"
1700541749.329737,"[0.0027805835148326146, -0.004213426013079289]"
1700541749.373706,"[0.0028264417093439133, -0.004295034904450604]"
1700541749.373711,"[0.0029580961604904264, -0.004323638881648107]"
1700541749.4176981,"[0.002974858526380737, -0.004261932690025192]"
1700541749.4177027,"[0.0029764468888113875, -0.00385278614844867]"
1700541749.4616847,"[0.002978905072590316, -0.003346690729575628]"
1700541749.461694,"[0.002730533747339597, -0.0027676101824865426]"
1700541749.4616983,"[0.0024832382793225317, -0.0022378286242912726]"
1700541749.5057065,"[0.0023401159780986106, -0.0017637995917133126]"
1700541749.5057113,"[0.004953911039462607, -0.001159179050089236]"
1700541749.52161,"[0.014340365575380489, 0.0010184436848570664]"
1700541749.5427382,"[0.024273645638491943, 0.0013722311649014194]"
1700541749.5856729,"[0.03776732803037548, 0.001530876979682386]"
1700541749.5856829,"[0.05457148483055671, 0.0008471354312300449]"
1700541749.6337183,"[0.07928865419113584, -0.0013905860465255313]"
1700541749.633726,"[0.10647886255095439, -0.002993278751240555]"
1700541749.6776721,"[0.13652945667901345, -0.004701689500973579]"
1700541749.6776814,"[0.16853300790918285, -0.006572872206188189]"
1700541749.7216644,"[0.20158413648087584, -0.007329344075164834]"
1700541749.7216718,"[0.2353739410397362, -0.007389489727986609]"
1700541749.7216792,"[0.27018638441622705, -0.007239605822054112]"
1700541749.765682,"[0.30515944161933584, -0.006393447897232971]"
1700541749.8085687,"[0.3395321891958843, -0.004984550649378554]"
