timestamp,data,timestamps
1700199874.044174,"[372.8132083568936, 1135.1668429383942, 81.6389610040715]"
1700199874.0943437,"[372.8205528925764, 1135.2129373720882, 81.30836419103024]"
1700199874.144452,"[372.8322737680013, 1135.2829260070362, 80.81638023233332]"
1700199874.1942909,"[372.8404599902643, 1135.3301800518402, 80.4924163486911]"
1700199874.2442665,"[372.8532212821314, 1135.4019261566584, 80.01028957577003]"
1700199874.2943327,"[372.862068031591, 1135.450326010835, 79.68942492954858]"
1700199874.3441784,"[372.8759216810408, 1135.5237365754092, 79.2061748153878]"
1700199874.394192,"[372.8807025844394, 1135.5484016881226, 79.04481890390784]"
1700199874.4558809,"[372.8954592056174, 1135.6229986152916, 78.56366081988874]"
1700199874.4944015,"[372.9111525809488, 1135.6983450504324, 78.08590577902653]"
1700199874.5443232,"[372.9278657234821, 1135.7744194234047, 77.60824246564493]"
1700199874.594164,"[372.9393961939737, 1135.825523621087, 77.28584562398122]"
1700199874.6553202,"[372.95727173530827, 1135.9027579374028, 76.80112088724455]"
1700199874.6943655,"[372.96971981532477, 1135.9546556195783, 76.48546437150405]"
1700199874.7445612,"[372.9891732275254, 1136.0331443145005, 76.02981765509784]"
1700199874.7996778,"[373.00256740433247, 1136.085902311076, 75.73797977015711]"
1700199874.849613,"[373.02330752381175, 1136.1656982893242, 75.31367518770304]"
1700199874.8942025,"[373.03765282697793, 1136.2193009835205, 75.0391567393145]"
1700199874.954538,"[373.05994175149374, 1136.300232991105, 74.63504429736992]"
1700199874.9943504,"[373.07519493460103, 1136.3544975189238, 74.36830357283489]"
1700199875.054933,"[373.0985760772153, 1136.4363735559489, 73.97358254907849]"
1700199875.0994072,"[373.12274709138836, 1136.5188908195446, 73.59517739053679]"
1700199875.1494944,"[373.1393157206261, 1136.5742369953189, 73.35515745349345]"
1700199875.1997278,"[373.1648375730729, 1136.6576433428127, 73.01283924434978]"
1700199875.2613895,"[373.1823208771599, 1136.7134324510084, 72.79382148874325]"
1700199875.2944362,"[373.2001454305917, 1136.7693505739685, 72.58419437423127]"
1700199875.3657978,"[373.2273819370814, 1136.8534696549013, 72.29087288627186]"
1700199875.399574,"[373.2365130129812, 1136.8815760356497, 72.2006077261303]"
1700199875.4496262,"[373.25471240685545, 1136.9377593132372, 72.02915644657259]"
1700199875.4995492,"[373.291277211633, 1137.0500859937072, 71.73124954627326]"
1700199875.5441384,"[373.31898679709053, 1137.1341458920197, 71.54494312438315]"
1700199875.594181,"[373.3375393229061, 1137.1899507385178, 71.43846101587117]"
1700199875.6443462,"[373.3652432698808, 1137.2731291078385, 71.29095410454644]"
1700199875.7048976,"[373.38356143672144, 1137.3281570776899, 71.19739157454657]"
