timestamp,data,timestamps
1700545699.2883422,"[536.557269990803, 1780.9732745012705, -86.94259162447639]"
1700545699.33334,"[536.5572701296707, 1780.9732101883446, -86.94189447535189]"
1700545699.3884296,"[536.5572283997543, 1780.973164775021, -86.94162405990963]"
1700545699.4437838,"[536.5572088424929, 1780.9732020644901, -86.94139357760216]"
1700545699.483386,"[536.557266343455, 1780.9733287496958, -86.94219331689874]"
1700545699.5333374,"[536.5573598451953, 1780.973391579889, -86.94307738069995]"
1700545699.5884488,"[536.5575261949361, 1780.9733925265825, -86.94412024239219]"
1700545699.6383371,"[536.5576158975476, 1780.9733483369928, -86.94385687563411]"
1700545699.6935453,"[536.5576769412176, 1780.9732832895393, -86.94330912953194]"
1700545699.7539418,"[536.5576789086422, 1780.973276025055, -86.94372957159263]"
1700545699.793601,"[536.5576672184795, 1780.9733147818051, -86.94479071499819]"
1700545699.8332353,"[536.5576674598797, 1780.9733559886272, -86.94520090317317]"
1700545699.8884847,"[536.5576674598797, 1780.9733559886272, -86.94520090317317]"
1700545699.9384243,"[536.5577096190781, 1780.973332865217, -86.9433583341033]"
1700545699.983263,"[536.5578079934188, 1780.9732712770926, -86.9431631955261]"
1700545700.038412,"[536.5578671581864, 1780.973222812729, -86.94379922370763]"
1700545700.0884717,"[536.5578831994288, 1780.973163118307, -86.94468741807549]"
1700545700.1435397,"[536.5578455018402, 1780.9731431889595, -86.94468315665932]"
1700545700.1883736,"[536.5577605141166, 1780.9731455892634, -86.94358143849371]"
1700545700.238266,"[536.5577334677475, 1780.9731533548197, -86.94373279235299]"
1700545700.2832675,"[536.5577612090065, 1780.9731553602915, -86.94465222696138]"
1700545700.3486598,"[536.5578118758189, 1780.9731396142952, -86.9445113264434]"
1700545700.3833234,"[536.5579026358739, 1780.9731113309995, -86.94367330719672]"
1700545700.4384265,"[536.557965406557, 1780.9730915484345, -86.94406949789837]"
1700545700.4934914,"[536.558038437378, 1780.9730756808633, -86.94425001920732]"
1700545700.543663,"[536.5580588133828, 1780.9730853601045, -86.94435743128787]"
1700545700.588289,"[536.558051673044, 1780.973112717123, -86.94438285528918]"
1700545700.6488621,"[536.5580706510128, 1780.9731332687302, -86.94436947290086]"
1700545700.6884391,"[536.5582046670651, 1780.973159485803, -86.94571021410971]"
1700545700.738373,"[536.558351367288, 1780.9731654883528, -86.9455266054461]"
1700545700.7935426,"[536.5585815986391, 1780.9731686570155, -86.94416548841903]"
1700545700.843575,"[536.5586861753861, 1780.9731770861094, -86.94240952814357]"
1700545700.8887343,"[536.5586861753861, 1780.9731770861094, -86.94240952814357]"
1700545700.938522,"[536.5584281448606, 1780.9732619263755, -86.94420017812786]"
1700545700.9937668,"[536.55814166144, 1780.9732910542357, -86.94524115128272]"
1700545701.0386064,"[536.5579519364965, 1780.972962977637, -86.94592297100783]"
1700545701.098638,"[536.5577675921727, 1780.9710085509646, -86.94808259492947]"
1700545701.138416,"[536.5577540244735, 1780.9695952148327, -86.95095502723319]"
1700545701.183455,"[536.5580334263339, 1780.9583202803742, -86.94650653748687]"
1700545701.233375,"[536.5583772442868, 1780.948836490391, -86.94337092823724]"
1700545701.2833765,"[536.5591781404821, 1780.929518394427, -86.93681467806238]"
1700545701.3383603,"[536.559892280528, 1780.9132635812184, -86.93196559512]"
1700545701.3934822,"[536.5612012109995, 1780.8838312560638, -86.92082537107771]"
1700545701.4383068,"[536.5622126132105, 1780.8607760969153, -86.90941606383677]"
1700545701.4834888,"[536.5640064710968, 1780.8208911873264, -86.88653544076175]"
1700545701.5333788,"[536.5654490751228, 1780.7907022582408, -86.87017567113384]"
1700545701.5834131,"[536.5679638434133, 1780.7397868487776, -86.84285716812064]"
1700545701.6383574,"[536.5698969402424, 1780.7019624594457, -86.82037287090807]"
1700545701.6834035,"[536.5732463080287, 1780.6394734488717, -86.78282417789703]"
1700545701.738308,"[536.5757720988488, 1780.5941252059074, -86.75694829624669]"
1700545701.7833009,"[536.580005585346, 1780.5207072416035, -86.71896648542966]"
1700545701.8334289,"[536.5831064686896, 1780.4683602687949, -86.695706647377]"
1700545701.8883026,"[536.5831064686896, 1780.4683602687949, -86.695706647377]"
1700545701.938252,"[536.5898261042239, 1780.3560216176961, -86.64557996331729]"
1700545701.9833896,"[536.5967370869564, 1780.233897240661, -86.58407572144318]"
1700545702.033527,"[536.6002421480649, 1780.1693562253124, -86.54941766318424]"
1700545702.0936134,"[536.6058427832435, 1780.068287284325, -86.50506839014548]"
1700545702.1436625,"[536.6097818156695, 1779.998173743575, -86.47629978567679]"
