timestamp,data,timestamps
1700546125.1224067,"[-0.016198331626556296, -0.0008041867783982773]"
1700546125.1318827,"[-0.008063915690819698, -0.0042169811483844435]"
1700546125.1449602,"[-0.010972365401210528, 0.0025873182844192723]"
1700546125.1514292,"[-0.012914650552556734, 0.0033329324352028367]"
1700546125.1615036,"[-0.010905133563852405, -0.00453504105553701]"
1700546125.1701355,"[-0.010416171208985438, -0.0020768888051705733]"
1700546125.184995,"[-0.010113065547877102, 0.00033225762233009477]"
1700546125.1915255,"[-0.0007343919786149447, -0.010989084162388942]"
1700546125.2015643,"[0.0013414920734264317, -0.012990405806166175]"
1700546125.2100487,"[0.0005341385977282559, -0.016534470637076724]"
1700546125.2238977,"[0.006799421036689465, -0.019191333951664783]"
1700546125.2336092,"[0.01078102772756343, -0.01752426052519307]"
1700546125.2415538,"[0.008774348947788287, -0.017613367593116807]"
1700546125.2500484,"[0.009191856968286624, -0.012380093558072588]"
1700546125.2650888,"[0.01108462001759438, -0.009382747056873822]"
1700546125.2714074,"[0.00894274949172012, -0.009188258732861948]"
1700546125.2817822,"[0.014249781705138579, -0.006848613430119634]"
1700546125.2901118,"[0.020524327587003365, -0.00516420078708949]"
1700546125.3050117,"[0.010315067879728728, 0.0034468739027455966]"
1700546125.311418,"[0.00962415422929125, 0.009593232275850046]"
1700546125.3226304,"[0.009773103746665904, 0.007050573748686227]"
1700546125.332696,"[0.0028530612900778394, 0.006820637443575354]"
1700546125.3453147,"[0.003927477629435942, 0.01819138872686622]"
1700546125.3513885,"[-0.0016092729620785717, 0.02310913322185697]"
1700546125.3614979,"[-0.002523932456023166, 0.02198411860992889]"
1700546125.3700798,"[-0.00981892988147151, 0.02307229968179357]"
1700546125.385092,"[-0.009376976298749935, 0.020717511601432308]"
1700546125.3914592,"[-0.006851037580579389, 0.020568822042341797]"
1700546125.4019184,"[-0.00884835325796136, 0.019809704973919474]"
1700546125.4101222,"[-0.013907062354732637, 0.02055873012667087]"
1700546125.4239676,"[-0.011471171085183777, 0.011521236205955139]"
1700546125.4336784,"[-0.005248780754130263, 0.006865004179280122]"
1700546125.4415882,"[-0.006139545521377904, 0.005869936353053218]"
1700546125.4500365,"[-0.0061824131163981675, 0.001650520002532467]"
1700546125.4653215,"[-0.011175942259111303, -0.0022806631291030642]"
1700546125.4713645,"[-0.012982994063753308, -0.008774735361363748]"
1700546125.4814713,"[-0.009765896502225738, -0.014481661294709902]"
1700546125.490133,"[-0.004132203966455894, -0.017951819709101105]"
1700546125.5050988,"[-0.006900732659551034, -0.015861806615753524]"
1700546125.5113926,"[-0.009547930760146732, -0.022067401059295808]"
1700546125.523065,"[-0.007371011701286396, -0.024736682644371222]"
1700546125.5325089,"[-0.00844935341837382, -0.023507701760115175]"
1700546125.5449343,"[-0.006091397322002102, -0.021544859650130192]"
1700546125.5515382,"[-0.005911929801403453, -0.017882446033237288]"
1700546125.561591,"[-0.006330701037030224, -0.016952194488808744]"
1700546125.570081,"[-0.009448959416311605, -0.013000787990391375]"
1700546125.5853398,"[-0.0019264360084303516, -0.009968006486203726]"
1700546125.591514,"[-0.0010902238038448789, -0.005645266632191389]"
1700546125.6015995,"[0.0007800554096498647, -0.005326682939984667]"
1700546125.610087,"[0.00028198514124173663, -0.002302521942810158]"
1700546125.6243398,"[-0.0005679773460740604, -0.0004308139020713072]"
1700546125.633799,"[0.0004799383117665054, 0.005580633543343024]"
1700546125.641941,"[0.003098703555406174, 0.006823842664424179]"
1700546125.6500452,"[-0.0007201976564761557, 0.009589609633986829]"
