timestamp,data,timestamps
1700546125.1812952,"[-0.00014578098880186691, -5.4085358200194266e-05]"
1700546125.2002666,"[-5.952262238632876e-05, -0.0003388830709952546]"
1700546125.222615,"[0.00011867279272149853, -0.0007295499384845988]"
1700546125.240262,"[0.0003097952611344143, -0.0010397448947165183]"
1700546125.2612448,"[0.0005480195837871461, -0.0011223938089566022]"
1700546125.280561,"[0.0008058257396914067, -0.0012113316460689828]"
1700546125.301256,"[0.0010225222552895433, -0.0010183816132004829]"
1700546125.3213801,"[0.0012484845856335, -0.0008209838832601706]"
1700546125.3413856,"[0.0012473684859674442, -0.00033792796485098553]"
1700546125.381664,"[0.0011652613037902854, 0.00014298613272426043]"
1700546125.381671,"[0.0008965967820710587, 0.0005919410176496786]"
1700546125.425666,"[0.0007653055661997498, 0.0010347954607673232]"
1700546125.4256742,"[0.0005236334188101901, 0.0012589293934055536]"
1700546125.469703,"[0.00042053191303408673, 0.0013979183424789575]"
1700546125.4697113,"[0.00016353009422236936, 0.0013227423449175847]"
1700546125.5136664,"[-2.414305758453264e-05, 0.0010227506662289362]"
1700546125.5136707,"[-0.00010172289278845055, 0.0007032029030240983]"
1700546125.5616655,"[-0.00028651634378433147, 0.00015330001017941724]"
1700546125.5616734,"[-0.00040522154317409635, -0.00019903276230184461]"
1700546125.561678,"[-0.0005276060426732091, -0.0004909793242520187]"
1700546125.6056702,"[-0.0005625708130026188, -0.0005742355261841123]"
1700546125.6056786,"[-0.0005416511562627901, -0.0006277027840031968]"
1700546125.6229436,"[-0.0005695265522290458, -0.0005298632019867799]"
1700546125.6405663,"[-0.0004819753072462979, -0.00033179693467996557]"
1700546125.6816702,"[-0.00047837920555223416, -0.0001528068890655622]"
1700546125.6816788,"[-0.00047103024891086983, -1.8149242891824074e-06]"
1700546125.7296722,"[-0.00018446230519343507, 0.00016309942801655023]"
1700546125.72968,"[-0.00010609965802914416, 0.0003089134789510552]"
1700546125.7736707,"[-1.0538880475799877e-05, 0.0005558936938568378]"
1700546125.7736785,"[-0.00022765213532976766, 0.0006026231728809511]"
1700546125.8216677,"[-0.00017675236567189545, 0.0006083491608275414]"
1700546125.821679,"[-2.3886529984993247e-05, 0.00039032739366223626]"
1700546125.8656743,"[0.00021821399484822434, 0.00036401213682482863]"
1700546125.8914123,"[0.0003515833932170325, 0.00016860731463128997]"
1700546125.933681,"[0.0002788851488182735, 0.00016648067190855632]"
1700546125.93369,"[0.00011974208052682457, 0.00036831013518942216]"
1700546125.9336963,"[-0.00040632603306863, 0.0006242552720813852]"
1700546125.9337003,"[-0.0007708533398110642, 0.0008087655742823247]"
1700546125.9816628,"[-0.0009572277688551185, 0.0010996303557681989]"
1700546125.9816725,"[-0.0010165178172740882, 0.0012729442037902302]"
1700546125.981682,"[-0.0010897752878332955, 0.001280119325737613]"
1700546126.0004795,"[-0.0009651332337996025, 0.0008861063952539682]"
1700546126.0231807,"[-0.0008069808170076083, 0.00045118334288145014]"
1700546126.0656588,"[-0.0006528764896262851, -7.944280730814239e-05]"
1700546126.0656667,"[-0.00036172076020583486, -0.000506661284069245]"
1700546126.1097088,"[-6.784551785594614e-05, -0.0010480156466270163]"
1700546126.1097167,"[0.0001636059517708588, -0.001235678505119756]"
1700546126.1576715,"[0.00024459392082985684, -0.0010922237189496479]"
1700546126.15768,"[0.0003882321386057808, -0.0010212259442562018]"
1700546126.2016642,"[0.0005885417447613772, -0.0004645560150772805]"
1700546126.2016683,"[0.0004690478948296828, 0.0001178736602037007]"
1700546126.2016704,"[0.000372261152196378, 0.0005040544205861131]"
1700546126.2456686,"[0.00019702396840957652, 0.0008366326889348086]"
1700546126.245675,"[-3.1330584224064484e-05, 0.0010051237754418448]"
1700546126.2613492,"[-0.0001258434389266191, 0.0008966772464705279]"
1700546126.2803464,"[-0.0004976924430907073, 0.0007928009417647172]"
1700546126.3256745,"[-0.000535860689458763, 0.000498600563504324]"
1700546126.3256807,"[-0.0006911094793154845, 5.644917652355959e-05]"
1700546126.3697348,"[-0.000716964929986705, -0.0003283185596509589]"
1700546126.3697433,"[-0.00043319618225249955, -0.0006296777435665241]"
1700546126.4136806,"[-0.0005503854029962651, -0.0007711528265786598]"
1700546126.4136908,"[-0.0004462209197066268, -0.0008012895457428922]"
1700546126.4576995,"[-0.00020906989818474217, -0.0006749590664834936]"
1700546126.457707,"[-0.00014998107920037934, -0.0004479996701579263]"
1700546126.5016782,"[3.050536234471422e-05, -0.0004480231873334575]"
1700546126.5016866,"[0.00025739302554139064, -0.0005384841862474117]"
1700546126.501695,"[0.0002865612051718775, -0.0006730475764364328]"
1700546126.5496707,"[0.0002800046654147912, -0.0006892450230532323]"
1700546126.5496755,"[0.0003145801265066765, -0.0007543171147667094]"
1700546126.560691,"[0.00018529608981231012, -0.0008869286166741098]"
