timestamp,data,timestamps
1700544537.1638696,"[0.6284627842362127, 0.07834975505566706]"
1700544537.173274,"[-0.3585713916485755, 0.19598512646398003]"
1700544537.180749,"[-0.6651627813270728, 0.1047222835097952]"
1700544537.1941218,"[0.06840165074293103, 0.144027564440153]"
1700544537.2034853,"[0.19759247964810597, 0.9746880732033446]"
1700544537.2132342,"[-0.6901475914703836, 0.020769184666290585]"
1700544537.2207537,"[0.046096894797247, -1.0727157565397918]"
1700544537.2349958,"[0.30881535384543884, 0.04946088574061066]"
1700544537.2436895,"[-0.6062490783193998, -0.1584682259946436]"
1700544537.253368,"[-0.07478699505882046, -0.23983693174569035]"
1700544537.2636063,"[0.6316618107973884, -0.010515485392475585]"
1700544537.2750807,"[-0.31805930023579143, 0.561310325510491]"
1700544537.2837768,"[-0.6116732762623809, 0.08002139015664841]"
1700544537.2932935,"[0.3635833081536827, -0.24548689213678457]"
1700544537.3028634,"[0.4519587844330141, -0.11153916287252047]"
1700544537.3155909,"[0.08461416117059851, -0.3661972887337764]"
1700544537.3222523,"[0.9124926799692059, 0.2349162460453276]"
1700544537.3332968,"[0.149914567955573, -0.30761496481544276]"
1700544537.340837,"[-1.0629143482420529, -0.051102371894815285]"
1700544537.3551574,"[-0.05846175700708941, 0.5205139851688991]"
1700544537.3638105,"[-0.4105156544942038, 0.07875430965335749]"
1700544537.3733582,"[0.2851005071419512, -0.28849778884475075]"
1700544537.3808281,"[0.9810052610461096, 0.08623945750323628]"
1700544537.3943117,"[-0.6647165622836049, 0.16590320120012847]"
1700544537.4037735,"[0.20272564570833335, -0.6969762196270155]"
1700544537.412712,"[0.31838782035457114, 0.7899113380461767]"
1700544537.420759,"[-0.10236851284388497, -0.025003197279715242]"
1700544537.4351628,"[0.19145125503115426, 0.09710902136793582]"
1700544537.442411,"[-0.04265826678220636, -0.012087832038252078]"
1700544537.4532392,"[0.1232458706174158, 0.021827010277964878]"
1700544537.4607277,"[-0.3411954428044069, 0.2517571370113886]"
1700544537.4751492,"[0.25406622998327777, -0.5357607696384525]"
1700544537.4827597,"[0.4059156955342393, -0.3701801163953528]"
1700544537.4948,"[-0.1888167537181894, 0.2708337329498413]"
1700544537.5042653,"[-0.3735376921379854, 0.19511006256854474]"
1700544537.5157151,"[0.18568303510235298, 0.0121882446621781]"
1700544537.5238585,"[-0.6179311321145133, -0.2548133350692198]"
1700544537.532572,"[-0.6570368217913033, 0.45743114192081213]"
1700544537.5408638,"[0.16326792495242426, -0.6525566181780333]"
1700544537.5549555,"[0.12961965508162324, -0.08646528749329595]"
1700544537.5624332,"[0.22952690255786534, 0.4313576944426177]"
1700544537.5732841,"[-0.5138995516084457, 0.2206684574753804]"
1700544537.5807526,"[-0.10252521518258867, 0.07986725412090769]"
1700544537.5934727,"[0.31628260159274285, -0.03586802499638311]"
1700544537.6029313,"[-0.20221216048179008, -0.3610411938402737]"
1700544537.6134775,"[-0.042598389721063515, -0.1816245384748882]"
1700544537.620825,"[0.4720060860310909, 0.4287072597322336]"
1700544537.6350052,"[0.0161798905551091, 0.12112413931859362]"
1700544537.6437361,"[0.35601270335255325, 0.3535833056780359]"
1700544537.652524,"[-0.2579390300493337, 0.20142164526174658]"
1700544537.6632621,"[0.322745217655445, -0.3569695503906825]"
1700544537.6750312,"[0.06442200865088896, 0.052131076099730125]"
1700544537.682502,"[-0.27983118334730794, 0.8920695813616821]"
1700544537.6948829,"[0.027335081534275718, -0.013811650079916533]"
1700544537.704385,"[0.13712868833101688, -0.6914792946714385]"
1700544537.7155871,"[0.29346773469603793, -0.02483190490002808]"
1700544537.7227354,"[-0.46134360346294795, -0.11665089196749573]"
1700544537.733584,"[-0.2669644686057637, 0.43444741865743214]"
1700544537.7410955,"[0.31210983393445113, 0.05238294394312292]"
1700544537.7550073,"[-0.22659087987881255, 0.3506055237830196]"
1700544537.763971,"[0.2722590100639434, -0.6651092446234372]"
1700544537.7733274,"[0.5590926930688209, -0.10795727872252302]"
1700544537.7835288,"[-0.4407464750097598, -0.18176117320867607]"
1700544537.8065388,"[-0.19428177631011828, 0.2680090819680636]"
1700544537.8443546,"[0.0782018605669429, -0.13561796339556148]"
1700544537.861115,"[-0.06648169473607603, -0.2777389961432438]"
1700544537.865226,"[-0.13996152734564618, -1.2407421557550546]"
1700544537.872242,"[0.32575757788251963, -0.10899574086382625]"
1700544537.87506,"[-0.3690872874490798, -0.7923399024772414]"
1700544537.879231,"[-0.6865382169042551, 0.8689513728597771]"
1700544537.8833215,"[-0.8284010074927113, 1.7590211106661193]"
1700544537.889909,"[0.7835901533958713, -0.2859833254122307]"
1700544537.89275,"[-0.28842432445568295, 0.8841269236097937]"
1700544537.8985558,"[0.09864193876004107, -1.1248724257156706]"
1700544537.9097443,"[-0.320343959265037, -0.061771158366965624]"
1700544537.916354,"[-0.014763763610818229, 0.28444975863383243]"
1700544537.923649,"[0.5602374798283776, 0.3735168039027292]"
1700544537.933314,"[-0.4343768034316628, 0.020537871919949595]"
1700544537.9407933,"[0.26484771472211016, -0.40832725820602167]"
1700544537.954075,"[-0.1436557194057238, 0.04889126037637426]"
1700544537.9638045,"[0.1948613591667267, -0.4728346313538894]"
1700544537.9734387,"[0.37325011884689563, 0.24372192026882372]"
1700544537.9807832,"[0.3449937464510138, -0.5298562953799807]"
1700544537.9942074,"[-0.20854543611870122, 0.07731428871270123]"
1700544538.0037794,"[-0.5438397471111124, -0.039366622431549966]"
1700544538.0134363,"[-0.12289190156927533, -0.09385404964175217]"
1700544538.0235233,"[0.04172622844427434, 0.10539977196194218]"
1700544538.0350049,"[0.1863436449191068, 0.07345279934248945]"
1700544538.0438755,"[0.10636282429152842, 0.051862083078110244]"
1700544538.0532556,"[-0.5492339856488377, 0.09301425844000963]"
1700544538.0608034,"[0.27485285042387936, 0.10210010602526208]"
1700544538.0739954,"[0.012865324760100378, 0.6146524288426496]"
1700544538.0837102,"[-0.2677682025164471, 0.24537621092255493]"
1700544538.0946634,"[0.8070587953147895, -0.7365832421773936]"
1700544538.104085,"[0.2529643707564653, 0.22637312787381556]"
1700544538.1157167,"[-0.4556151521809638, 0.6786020952030127]"
1700544538.1237385,"[0.027324361052642177, 0.24503078326592595]"
1700544538.1335108,"[0.2640933612113991, -0.35749935835878843]"
1700544538.1407368,"[-0.04346923886247304, -0.5850862673892934]"
1700544538.15507,"[-0.3752488570325737, 0.14479853226847214]"
1700544538.1637356,"[-0.011561674777619806, 0.558539493433329]"
1700544538.173249,"[0.3577331578390731, -0.24532765399615006]"
1700544538.180735,"[-0.43425088359269387, -0.5528093168605708]"
1700544538.19419,"[-0.0647229647972828, 0.2885577178078789]"
1700544538.2036116,"[0.9443823246548207, 0.49842349503381445]"
1700544538.2133768,"[0.4291699828187854, -0.06871082618209835]"
1700544538.2208,"[-0.8120499459747331, -0.05213580136828762]"
1700544538.2350788,"[-0.40489002720994466, -0.23475556764219302]"
1700544538.243724,"[0.9279330351468478, 1.2472138083620465]"
1700544538.2534668,"[-0.027574613238058644, 0.43527753773288397]"
1700544538.2635026,"[0.048446332543977275, -0.32957167792861924]"
1700544538.2751114,"[-0.2716872369507973, -0.3181438230694511]"
1700544538.2828453,"[-0.32153170038231865, 0.010933763319808118]"
1700544538.2933602,"[-0.28076367469141517, 0.2844058165055482]"
1700544538.3029325,"[0.10483607717566241, 0.5200930899794595]"
1700544538.31472,"[0.28975914811378845, -0.4585308420509575]"
1700544538.323817,"[-0.4266965887202884, -0.2088315679313202]"
1700544538.3333817,"[-0.05990687900771423, -0.6483787276196445]"
1700544538.3408194,"[0.3966408475392911, -0.6879221975846262]"
1700544538.355073,"[-0.04867284725031684, -0.4091440480600041]"
1700544538.3637304,"[-1.2415150793744962, 0.1489613558866764]"
1700544538.3735554,"[0.04619377157412783, -0.5098928239634284]"
1700544538.3808007,"[0.6484787026931705, -1.290225823540615]"
1700544538.3943217,"[-0.060176514545914384, -0.5891445355992614]"
1700544538.403719,"[-0.015053401095343892, 0.7634789465008202]"
1700544538.4125862,"[0.8158448110357082, -0.2490720917520648]"
1700544538.4208152,"[9.55616512404584, -2.1499965432937875]"
1700544538.4343977,"[7.0424036683796025, 0.41425386758436317]"
1700544538.4425476,"[14.82437060860619, 1.487821769622917]"
1700544538.453392,"[5.4509497885580664, -2.549950169781159]"
1700544538.4611049,"[-1.0937622459622969, -0.8735738496263981]"
1700544538.4753785,"[4.140415059111792, 1.6884918198086982]"
1700544538.4830987,"[7.396400309833262, -0.6448954968157565]"
1700544538.494996,"[1.6797323803031818, 0.9743705656946813]"
1700544538.5044634,"[9.419370856607655, 0.8795554335016]"
1700544538.5157897,"[7.5013096855731085, -0.997075220633246]"
1700544538.52362,"[19.317440769448407, 0.8966723232859023]"
1700544538.532598,"[12.044661652534948, -0.7081804739462281]"
1700544538.540873,"[14.867750495121316, -1.0413692980033185]"
1700544538.5541277,"[13.485286981421833, -0.07418477655776107]"
1700544538.5624964,"[12.034187495539479, 4.167639827536408]"
1700544538.5732954,"[1.3293673360448697, 1.6275423147832777]"
1700544538.5807753,"[1.9135792928222726, -0.591527286193826]"
1700544538.5935938,"[3.8671693049889173, -0.36046084132816414]"
1700544538.6031504,"[8.981699629920586, 2.4431601590864327]"
1700544538.61337,"[0.7930058832508909, 0.8586662920153041]"
1700544538.6207905,"[2.1258392459854756, -1.5813173085982857]"
1700544538.6350365,"[2.049926615766667, 0.1488340518447673]"
1700544538.6437507,"[1.1796659514791856, 1.654267191085684]"
1700544538.6524851,"[1.2632694430965525, -0.36678316323680377]"
1700544538.6607432,"[2.276250258128498, -0.8970597940270761]"
1700544538.6750078,"[0.623076550172651, -0.30419964714794967]"
1700544538.6824033,"[2.5478068743798032, -0.405578070550636]"
1700544538.6946175,"[-2.1065863346204883, -0.6057983630302252]"
1700544538.704178,"[-0.16341137843208847, -0.9871902962434004]"
1700544538.7156332,"[0.7384571274068891, -1.369310451639497]"
1700544538.7228198,"[2.0051808954767956, -2.446061386192556]"
1700544538.7326894,"[0.02436954712535524, -1.6705176951699132]"
1700544538.7409892,"[-0.08517030906884591, -0.3474597208086667]"
1700544538.7550101,"[-0.7772278198075039, -0.5107783134591541]"
1700544538.7637773,"[2.13657204258613, -1.9167119160995487]"
1700544538.7725039,"[0.8168194091208214, 0.9185815886240397]"
